,cnpj,collected
Recrusul S.A.,91.333.666/0001-17,X
Recrusul S.A.,91.333.666/0001-17,X
PWR Mission Industria Mecanica S.A.,42.409.201/0001-97,X
Fiabesa Alagoas S.A.,02.235.902/0001-32,X
Hugo Cini S.A. Industria de Bebidas e Conexos,76.490.572/0001-68,X
Irmaos Ayres S.A. Construcoes Industria e Comercio,17.282.377/0001-83,X
Digistar Telecomunicacoes S.A.,03.004.730/0001-59,X
Basemetal Administradora de Bens Proprios S.A.,02.462.487/0001-50,X
Sperafico da Amazonia S.A.,24.973.927/0001-76,X
Vapza Alimentos S.A.,00.186.720/0001-93,X
Industria Textil Nossa Senhora do Belem S.A.,50.115.823/0001-30,X
CVG - Companhia Volta Grande de Papel,85.906.329/0001-79,X
Ferro + Mineracao S.A.,21.256.870/0001-04,X
Manuli Fitasa do Brasil S.A.,04.807.000/0001-59,unavailable
Alubillets Aluminio S.A.,61.005.328/0001-95,X
Starminas Aluminio S.A.,05.906.256/0001-86,X
Onix S.A. Industria de Colchoes e Espuma,03.604.761/0001-40,X
Ranco Embalagens S.A.,07.284.656/0001-22,X
Prysmian Draka Brasil S.A.,03.737.402/0001-61,X
Vamtec S.A.,22.034.458/0001-02,X
Cortume Krumenauer S.A.,97.191.597/0001-30,X
Globe Quimica S.A.,03.198.606/0001-71,X
Cascadura Industrial S.A.,60.891.041/0001-47,X
Clin Off do Brasil S.A.,01.313.795/0001-50,X
Laboratorio Prado S.A.,76.488.196/0001-77,X
Fujimura do Brasil S.A.,43.683.101/0001-17,X
Industrial Madeireira S.A.,86.547.833/0001-92,X
Fundicao Altivo S.A.,19.791.276/0001-63,X
MG Industria e Comercio S.A.,93.384.311/0001-82,X
Sanen Engenharia S.A.,06.249.465/0001-67,X
Benevides Aguas S.A.,15.887.193/0001-11,X
Tracomal Mineracao S.A.,00.450.220/0001-17,X
Prysmian Fibras Oticas Brasil Ltda.,03.742.747/0001-03,X
MG Madeireira Araguaia Industria Comercio e Agropecuaria S.A.,04.956.322/0001-60,X
Buhler Sanmak Industria de Maquinas S.A.,75.304.766/0001-69,X
Embali S.A. Industrias Plasticas,00.412.880/0001-03,X
Industria Alimenticia Tres de Maio S.A.,09.212.234/0001-77,X
Eletroforja Industria Mecanica S.A.,05.958.978/0001-84,X
Artur Eberhardt S.A.,61.594.818/0001-74,X
Tapecol Sinasa Industria e Comercio S.A.,49.319.528/0001-17,X
Cercena S.A. Industria Metalurgica,89.423.040/0001-50,X
Florestal S.A.,83.662.247/0001-09,X
Lufer Industria Mecanica S.A.,76.904.192/0001-22,X
Companhia Geral de Minas,60.580.396/0001-15,X
Ceramica Setelagoana S.A.,24.986.887/0001-05,X
Comtex Industria e Comercio Importacao e Exportacao S.A.,02.408.485/0001-82,X
Sanny Confeccoes Femininas S.A.,07.291.784/0001-01,X
Preconcretos Engenharia S.A.,87.144.440/0001-09,X
Fabrica Mineira de Eletrodos e Soldas Denver S.A.,22.671.564/0001-99,X
Lavradora Racional de Madeiras Lavrama S.A.,76.506.302/0001-06,X
Tecnomotor Eletronica do Brasil S.A.,44.762.458/0001-53,X
Porcelanas Industriais Germer S.A.,86.378.189/0001-76,X
S.A. Fabrica de Tecidos Sao Joao Evangelista,21.555.008/0001-94,X
Fibrasa S.A. Embalagens ,27.059.849/0001-97,X
Safelca S.A. Industria de Papel,49.051.972/0001-02,X
Swedish Match da Amazonia S.A.,05.458.096/0001-50,X
Linificio Leslie S.A.,33.095.761/0001-23,X
Bonor Industria de Botoes do Nordeste S.A.,10.868.610/0001-65,X
Goias Alimentos S.A.,05.207.895/0001-53,X
Plasticos Novel do Parana S.A.,80.319.064/0001-99,X
Inonibras Inoculantes e Ferro Ligas Nipo Brasileiros S.A.,18.891.036/0001-78,X
Balancas Saturno S.A.,02.169.172/0001-19,X
Vigodent S.A. Industria e Comercio,33.425.331/0001-22,X
Pharlab Industria Farmaceutica S.A.,02.501.297/0001-02,X
Enfil S.A. Controle Ambiental,00.286.550/0001-19,X
Industrias Arteb S.A.,62.291.380/0001-18,X
TBM - Textil Bezerra de Menezes S.A.,07.671.092/0001-80,X
SI Group Crios Resinas S.A.,44.246.528/0001-10,unavailable
Companhia Industrial H. Carlos Schneider,84.709.955/0001-02,X
Paramount Texteis Industria e Comercio S.A.,61.565.222/0001-46,X
Romagnole Produtos Eletricos S.A.,78.958.717/0001-38,X
Panatlantica S.A.,92.693.019/0001-89,X
Panatlantica S.A.,92.693.019/0001-89,X
Perto S.A. Perifericos para Automacao,92.080.035/0001-04,X
Adami S.A. - Madeiras,83.054.478/0001-21,X
Petrocoque S.A. Industria e Comercio,43.218.296/0001-24,X
Sococo S.A. Industrias Alimenticias,12.285.276/0001-42,X
Eka Chemicals do Brasil S.A.,43.818.418/0001-13,X
Companhia de Fiacao e Tecidos Santo Antonio,25.582.727/0001-55,X
Unicasa Industria de Moveis S.A.,90.441.460/0001-48,X
Viena Siderurgica S.A.,07.609.993/0001-42,X
Apsen Farmaceutica S.A.,62.462.015/0001-29,X
Flamma Automotiva S.A.,01.002.612/0001-86,X
Itabuna Textil S.A.,01.933.349/0001-49,X
Industrial Levorin S.A.,49.032.337/0001-70,X
B. Grob do Brasil S.A. Industria e Comercio de Maquinas Operatrizes e Ferramentas,60.586.450/0001-30,X
Agritech Lavrale S.A. Maquinario Agricola e Componentes,88.658.984/0001-43,X
Astra S.A. Industria e Comercio,50.949.528/0001-80,X
Eisa - Estaleiro Ilha S.A.,00.261.304/0001-02,X
Acument Brasil Sistemas de Fixacao S.A.,61.526.836/0001-19,X
Cambuci S.A.,61.088.894/0001-08,X
Cambuci S.A.,61.088.894/0001-08,X
Acrinor - Acrilonitrila do Nordeste S.A.,13.546.353/0001-33,X
Pampeano Alimentos S.A.,35.768.720/0001-86,X
Borealis Brasil S.A.,13.204.698/0001-09,X
Sandvik Coromant do Brasil Industria e Comercio Ltda.,60.680.279/0001-23,X
Caloi Norte S.A.,04.301.024/0001-31,X
Fitesa Naotecidos S.A.,93.211.084/0001-93,X
Gerdau S.A.,33.611.500/0001-19,X
Gerdau S.A.,33.611.500/0001-19,X
Industria Quimica Anastacio S.A.,60.874.724/0001-96,X
Mineracao Fazenda Brasileiro S.A.,05.673.658/0001-88,X
Aunde Brasil S.A.,48.131.296/0001-06,X
Perfipar S.A. Manufaturados de Aco,95.816.963/0001-74,X
Ducoco Alimentos S.A.,63.460.299/0001-87,X
Empresa Brasileira de Bebidas e Alimentos S.A.,07.604.556/0001-36,X
Codeme Engenharia S.A.,16.521.601/0001-80,X
Brasilgrafica S.A. Industria e Comercio,61.192.696/0001-90,X
Sipcam Nichino Brasil S.A.,23.361.306/0001-79,X
Perfilados Rio Doce Ltda.,03.461.082/0001-60,X
Alisul Alimentos S.A.,89.548.523/0001-80,X
Schweitzer Mauduit do Brasil S.A.,33.073.008/0001-37,X
Hydro Extrusion Brasil S.A.,50.155.134/0001-50,X
Santa Maria Companhia de Papel e Celulose,77.887.917/0001-84,X
Leitesol Industria e Comercio S.A.,65.979.973/0001-60,X
Companhia Metalic Nordeste,01.183.070/0001-95,X
Sika S.A.,33.081.704/0001-95,X
Embalagens Flexiveis Diadema S.A.,04.716.366/0001-12,X
Petrom Petroquimica Mogi das Cruzes S.A.,02.340.752/0001-27,X
Stam Metalurgica S.A.,30.560.205/0001-92,X
Tanac S.A.,91.359.711/0001-02,X
Capricornio Textil S.A.,60.745.411/0001-38,X
Rousselot Gelatinas do Brasil Ltda.,06.538.082/0001-09,X
Cadam S.A.,04.788.980/0001-90,X
Kordsa Brasil S.A.,13.573.332/0001-07,X
Adram S.A. Industria e Comercio,52.059.268/0001-00,X
Proquigel Quimica S.A.,27.515.154/0011-44,X
Kepler Weber Industrial S.A.,87.288.940/0001-06,X
Borrachas Vipal Nordeste S.A.,07.857.217/0001-61,X
Usaflex - Industria & Comercio S.A.,86.900.925/0001-04,X
Companhia de Fiacao e Tecidos Cedro e Cachoeira,17.245.234/0001-00,X
Companhia de Fiacao e Tecidos Cedro e Cachoeira,17.245.234/0001-00,X
Companhia Maranhense de Refrigerantes,06.272.199/0001-93,X
Medidata Informatica S.A.,15.109.770/0001-44,X
Total Alimentos Ltda.,18.631.739/0001-67,X
Celulose Irani S.A.,92.791.243/0001-03,unavailable
Celulose Irani S.A.,92.791.243/0001-03,unavailable
Nova Era Silicon S.A.,19.795.665/0001-67,X
Companhia Hispano-Brasileira de Pelotizacao - Hispanobras,27.240.092/0001-33,X
Frigotil - Frigorifico de Timon S.A.,05.699.871/0001-69,X
Zanettini Barossi S.A. Industria e Comercio,61.357.406/0001-10,X
Correias Mercurio S.A. Industria e Comercio,50.937.564/0001-23,X
Casp S.A. Industria e Comercio,61.106.043/0001-40,X
Companhia Petroquimica do Nordeste,16.234.627/0001-47,X
Postes Nordeste S.A.,15.102.262/0001-34,X
Fernandez S.A. Industria de Papel,43.468.701/0001-62,X
Fuga Couros S.A.,91.302.349/0001-33,X
Killing S.A. Tintas e Adesivos,91.671.578/0001-25,X
Frigorifico Industrial Vale do Piranga S.A.,00.763.832/0001-60,X
Pado S.A. Industrial Comercial e Importadora,61.144.150/0001-63,X
Frohlich S.A. Industria e Comercio de Cereais,89.716.195/0001-84,X
ZM S.A.,76.812.379/0001-04,X
Moveis Weihermann S.A.,86.047.362/0001-53,X
Mastrotto Brasil S.A.,03.384.037/0001-59,X
Pinceis Tigre Ltda.,61.182.606/0001-80,X
Vallee S.A.,20.557.161/0001-98,X
Industrias Anhembi Ltda.,55.116.131/0001-20,X
Bertolini S.A.,87.556.650/0001-04,X
Buschle & Lepper S.A.,84.684.471/0001-56,X
Otto Baumgart Industria e Comercio S.A.,60.642.774/0001-48,X
Avibras Industria Aeroespacial S.A.,60.181.468/0001-51,X
Nutrimental S.A. - Industria e Comercio de Alimentos,76.633.890/0001-30,X
Sandvik Mining and Rock Technology do Brasil Ltda.,07.083.656/0001-64,X
Fosbrasil S.A.,54.091.707/0001-80,X
ZD Alimentos S.A.,56.073.307/0001-77,X
Unigel Plasticos S.A.,02.402.478/0001-73,X
Florestal Alimentos S.A.,91.155.259/0001-67,X
Para Pigmentos S.A.,33.931.510/0001-31,X
Zanotti S.A.,78.256.336/0001-07,X
Itapessoca Agro Industrial S.A.,10.318.806/0001-86,X
Metisa Metalurgica Timboense S.A.,86.375.425/0001-09,X
Metisa Metalurgica Timboense S.A.,86.375.425/0001-09,X
Brinquedos Bandeirante S.A.,61.068.557/0001-59,X
Swedish Match do Brasil S.A.,33.016.338/0001-90,X
Ober S.A. Industria e Comercio,43.238.138/0001-36,X
Moinho do Nordeste S.A.,87.274.817/0001-36,X
Tramontina Multi S.A.,88.037.668/0001-54,X
Vinicola Salton S.A. ,87.547.428/0001-37,X
Plant Bem Fertilizantes S.A.,77.353.662/0001-70,X
Norfil S.A. Industria Textil,02.341.494/0001-01,X
Brespel - Companhia Industrial Brasil Espanha,13.603.733/0001-62,X
Inpa - Industria de Embalagens Santana S.A.,23.524.952/0001-00,X
A. Grings S.A.,97.755.177/0001-30,X
Arteche EDC Equipamentos e Sistemas S.A.,02.782.918/0001-65,X
Irmaos Fischer S.A. Industria e Comercio,82.984.287/0001-04,X
Rimet Empreendimentos Industriais e Comerciais S.A.,29.388.352/0001-48,X
Centroprojekt do Brasil S.A.,03.581.470/0001-84,X
Viposa S.A.,83.054.437/0001-35,X
Companhia de Cimento Ribeirao Grande,27.184.944/0001-12,X
Delta Industria de Ceramica Ltda.,47.595.863/0001-12,X
Elcoteq da Amazonia Ltda.,06.369.890/0001-90,X
Mahle Hirschvogel Forjas S.A.,33.035.130/0001-19,X
Vulcabras Azaleia RS. Calcados e Artigos Esportivos S.A.,98.408.073/0001-11,unavailable
Nuclebras Equipamentos Pesados S.A. - Nuclep,42.515.882/0001-78,X
Canguru S.A. Industria e Comercio de Produtos Plasticos,82.916.172/0001-74,X
Brafer Construcoes Metalicas S.A.,77.153.773/0001-32,X
Quimica Geral do Nordeste S.A.,14.727.457/0001-07,X
Condor S.A.,86.046.448/0001-61,X
Technos da Amazonia Industria e Comercio S.A.,04.628.426/0001-45,X
Riclan S.A.,56.370.364/0001-18,X
Electro Vidro S.A.,29.722.071/0001-80,X
Aguia Sistemas de Armazenagem S.A.,81.075.137/0001-07,X
Industria de Papel e Papelao Sao Roberto S.A.,60.432.648/0001-69,X
Electro Aco Altona S.A.,82.643.537/0001-34,X
Electro Aco Altona S.A.,82.643.537/0001-34,X
Apolo Tubulars S.A.,42.419.150/0001-84,X
Painco Industria e Comercio S.A.,56.563.976/0001-27,X
Companhia Minuano de Alimentos,84.430.800/0001-32,X
Carbonifera Criciuma S.A.,83.647.909/0001-63,X
Companhia Canoinhas de Papel,76.827.344/0001-30,X
Primo Tedesco S.A.,83.056.804/0001-30,X
Jardim Sistemas Automotivos e Industriais S.A.,03.290.201/0001-69,X
Celulose e Papel de Pernambuco S.A. - Cepasa,10.422.699/0001-31,X
Papirus Industria de Papel S.A.,60.856.077/0001-90,X
Avelino Bragagnolo S.A. Industria e Comercio,84.586.833/0001-76,X
Quimisa S.A.,43.683.069/0001-70,X
Realcafe Soluvel do Brasil S.A.,28.154.847/0001-40,X
Maringa Ferro-Liga S.A.,61.082.988/0001-70,X
TDB Textil S.A.,60.579.422/0001-95,X
Minasa Trading International S.A.,47.496.286/0001-01,X
Frinal S.A. - Frigorifico e Integracao Avicola,89.750.541/0001-40,X
Ondunorte - Companhia de Papeis e Papelao Ondulado do Norte,10.808.699/0001-74,X
Tenaris Coating do Brasil S.A.,02.837.836/0001-70,X
Empresa Brasileira de Solda Eletrica S.A. - EBSE,33.220.880/0001-60,X
Padtec S.A.,03.549.807/0001-76,X
Zodiac Produtos Farmaceuticos S.A.,55.980.684/0001-27,unavailable
Circulo S.A.,84.043.009/0001-70,X
Fibam Companhia Industrial,61.410.395/0001-95,X
Fibam Companhia Industrial,61.410.395/0001-95,X
Dudalina S.A.,85.120.939/0001-42,X
Fabrica de Artefatos de Latex Sao Roque S.A.,70.939.574/0001-05,X
Alianca Metalurgica S.A.,61.143.632/0001-07,X
Latina Eletrodomesticos S.A.,00.217.622/0001-76,X
Satbras Industria Eletronica da Amazonia Ltda.,03.521.296/0001-84,X
CP Kelco Brasil S.A.,54.105.671/0001-46,X
Carbonifera Metropolitana S.A.,83.647.917/0001-00,X
Impacta S.A. Industria e Comercio,61.194.494/0001-87,X
Buddemeyer S.A.,86.047.198/0001-84,X
Biancogres Ceramica S.A.,02.077.546/0001-76,X
Netuno Alimentos S.A. ,00.580.504/0001-28,X
Baerlocher do Brasil S.A.,43.821.164/0001-92,X
Fertilizantes Mitsui Industria e Comercio Ltda.,23.645.542/0001-17,X
Estamparia S.A.,19.791.987/0001-38,X
Cocam - Companhia de Cafe Soluvel e Derivados,60.421.161/0001-80,X
Pisani Plasticos S.A.,87.833.737/0001-73,X
Baldo S.A. - Comercio Industria e Exportacao,91.473.678/0001-47,X
Fabrimar S.A. Industria e Comercio ,33.064.262/0001-79,X
Tekno S.A. Industria e Comercio,33.467.572/0001-34,X
Tekno S.A. Industria e Comercio,33.467.572/0001-34,X
Mineracao Taboca S.A.,34.019.992/0001-10,X
Mizu S.A.,01.797.671/0001-98,X
Autometal S.A.,59.104.513/0001-95,unavailable
JJGC Industria e Comercio de Materiais Dentarios S.A.,00.489.050/0001-84,X
Seta S.A. Extrativa Tanino de Acacia,89.717.268/0001-52,X
TMD Friction do Brasil S.A.,33.060.716/0001-33,X
Refinaria Nacional de Sal S.A.,60.560.349/0001-00,X
Produtos Alimenticios Arapongas S.A. - Prodasa,75.404.814/0001-90,X
Buaiz S.A. - Industria e Comercio,28.126.928/0001-36,X
Renner Herrmann S.A.,92.690.700/0001-73,X
Tintas Hidracor S.A.,04.706.416/0001-80,X
Itamaraty Industria e Comercio S.A.,75.222.901/0001-27,X
Seculus da Amazonia Industria e Comercio S.A.,34.516.088/0001-10,X
Industrias Granfino S.A.,30.770.184/0001-30,X
Copapa - Companhia Paduana de Papeis,31.590.862/0001-45,X
Intral S.A. Industria de Materiais Eletricos,88.611.264/0001-22,X
Acrilex Tintas Especiais S.A.,60.779.014/0001-87,X
Graham Packaging do Brasil Industria e Comercio Ltda.,01.728.444/0001-00,X
Sadefem Equipamentos e Montagens S.A.,06.982.156/0001-00,X
Itapetinga Agro Industrial S.A.,08.331.340/0001-07,X
Rochesa S.A. Tintas e Vernizes,74.068.552/0001-78,X
Moinhos Galopolis S.A.,88.614.557/0001-63,X
Cotece S.A.,06.054.647/0001-82,X
Mercur S.A.,93.896.397/0001-22,X
Moinho Globo Alimentos S.A.,81.442.014/0001-67,X
ELO Sistemas Eletronicos S.A.,87.332.342/0001-97,X
Ashland Polimeros do Brasil S.A. ,72.930.332/0001-86,unavailable
Telasul S.A.,87.846.796/0001-86,unavailable
Risa S.A.,06.855.894/0001-88,X
Zen S.A. Industria Metalurgica,57.006.264/0001-70,X
Madef S.A. Industria e Comercio,92.696.418/0001-01,X
Lojas Citycol S.A.,33.881.301/0001-20,X
Selene Industria Textil S.A.,47.254.545/0001-98,X
Tramontina Garibaldi S.A. Industria Metalurgica,90.049.792/0001-81,X
BioMerieux Brasil S.A.,33.040.635/0001-71,X
Richard Saigh Industria e Comercio S.A.,61.206.397/0001-67,X
Fiacao Sao Bento S.A.,86.046.414/0001-77,X
Metalurgica Duque S.A.,84.683.762/0001-20,X
Sobral Invicta S.A.,60.594.538/0001-01,X
Farben S.A. Industria Quimica,85.111.441/0001-13,X
Icasa Industria Ceramica Andradense S.A.,17.884.560/0001-59,X
Companhia Riograndense de Mineracao,92.724.145/0001-53,X
Tramontina Delta S.A.,02.508.145/0001-23,X
Metalgrafica Cearense S.A.,07.203.615/0001-64,X
Kanaflex S.A. Industria de Plasticos,43.942.598/0001-40,X
Dormer Pramet Solucoes para Usinagem Ltda.,60.875.580/0001-92,X
Peccin S.A.,89.425.888/0001-18,X
Industria Santa Clara S.A.,17.156.696/0001-42,X
Pamesa do Brasil S.A.,03.428.529/0001-07,X
Nitriflex S.A. Industria e Comercio,42.147.496/0001-70,X
Cestari Industrial e Comercial S.A.,52.848.868/0001-40,X
BR Plasticos S.A.,87.963.815/0001-54,X
Companhia Nipo-Brasileira de Pelotizacao,27.251.842/0001-72,X
Itapicuru Agroindustrial S.A.,10.319.846/0001-42,X
Nogueira Industria e Comercio de Implementos e Maquinas Agricolas S.A.,08.510.974/0001-27,X
Barbosa & Marques S.A.,19.273.747/0001-41,X
Metalurgica Mococa S.A.,52.502.945/0001-05,X
CCL Industries do Brasil S.A.,07.593.518/0001-25,X
Norte Salineira S.A. Industria e Comercio,08.249.021/0001-57,X
Dyna Industria e Comercio Ltda.,61.354.148/0001-19,X
Agrifirm S.A.,03.279.946/0001-27,X
Madal Palfinger S.A.,88.613.856/0001-83,X
Nortex Industria e Comercio S.A.,24.523.508/0001-32,X
Madem S.A. Industria e Comercio de Madeiras e Embalagens,87.547.238/0001-10,X
Oxford Porcelanas S.A.,86.046.463/0001-00,X
Dow Brasil Industria e Comercio de Produtos Quimicos Ltda.,60.435.351/0001-57,X
Sonoco Embalagens S.A.,01.708.750/0001-85,X
Franklin Electric Industria de Motobombas S.A.,84.685.106/0001-66,X
Laminor S.A.,05.553.211/0001-75,X
Poly-Vac S.A. Industria e Comercio de Embalagens,43.655.612/0001-25,X
Industrias Novacki S.A.,85.601.201/0001-05,X
Manufatura de Brinquedos Estrela S.A.,61.082.004/0001-50,X
Manufatura de Brinquedos Estrela S.A.,61.082.004/0001-50,X
Durametal S.A.,07.041.007/0001-09,X
Ceramica Porto Ferreira S.A.,55.186.423/0001-30,X
Dumont Saab do Brasil S.A.,04.400.685/0001-14,X
Siderurgica Alterosa S.A.,23.117.229/0001-06,X
Gypsum S.A. Mineracao. Industria e Comercio,24.443.608/0001-59,unavailable
Laboratorio Farmaceutico do Estado de Pernambuco Governador Miguel Arraes S.A. - Lafepe,10.877.926/0001-13,X
Companhia Muller de Bebidas Nordeste,02.151.119/0001-90,X
Dacar Quimica do Brasil S.A.,78.949.013/0001-07,X
Burigotto S.A. Industria e Comercio,51.460.277/0001-38,X
Uniao Brasileira de Vidros S.A.,60.837.689/0001-35,X
Plantar Siderurgica S.A.,20.388.757/0001-01,unavailable
Empresa Industrial e Comercial Fuck S.A.,83.188.219/0001-93,X
TBM - Textil Industria e Comercio S.A.,05.435.483/0001-70,X
Preformax Industria Plastica S.A.,01.837.197/0001-80,X
AsGa S.A.,59.694.729/0001-58,X
Nansen S.A. Instrumentos de Precisao,17.155.276/0001-41,X
Bebidas Fruki S.A.,87.315.099/0001-07,X
Aluminio Nordeste S.A.,07.637.022/0001-06,X
Sao Carlos S.A. Industria de Papel e Embalagens,59.596.619/0001-53,X
Fiabesa Guararapes S.A.,03.083.850/0001-99,X
Focus Tecnologia de Plasticos S.A.,59.257.972/0001-09,X
Baumer S.A.,61.374.161/0001-30,X
Baumer S.A.,61.374.161/0001-30,X
Akzo Nobel Pulp and Performance Quimica Bahia Ltda.,05.869.996/0001-90,X
Textil Renauxview S.A.,82.982.075/0001-80,X
Textil Renauxview S.A.,82.982.075/0001-80,X
Moinho Arapongas S.A.,76.125.244/0001-62,X
Cerpa - Cervejaria Paraense S.A.,04.894.085/0001-50,X
Acotec Industria em Sistemas Estruturais Ltda.,75.401.356/0001-36,X
Regina Industria e Comercio S.A.,52.005.378/0001-81,X
Scandiflex do Brasil S.A. Industrias Quimicas,33.038.886/0001-11,X
Tramontina Teec S.A.,01.554.846/0001-36,X
Cemec - Construcoes Eletromecanicas S.A.,63.564.389/0001-18,unavailable
ArcelorMittal Mineracao Serra Azul S.A.,08.102.787/0001-04,X
Regispel Industria e Comercio de Bobinas S.A.,46.120.820/0001-18,X
Metalgrafica Iguacu S.A.,80.227.184/0001-66,X
Metalgrafica Iguacu S.A.,80.227.184/0001-66,X
Ceramus Bahia S.A. Produtos Ceramicos,13.786.785/0001-11,X
Companhia Coreano-Brasileira de Pelotizacao,33.931.494/0001-87,X
FAE Sistemas de Medicao S.A. ,07.281.413/0001-30,X
Bike do Nordeste S.A.,02.220.262/0001-97,X
Termolar S.A.,92.780.634/0001-22,X
Mucambo S.A.,15.107.246/0001-34,X
Moveis Rudnick S.A.,86.046.612/0001-30,X
Tarkett Brasil Revestimentos Ltda.,61.452.199/0001-83,X
Cyklop do Brasil Embalagens S.A.,56.993.512/0001-50,X
Sincol S.A. Industria e Comercio,83.053.660/0001-68,X
Industria e Comercio Metalurgica Atlas S.A.,61.075.404/0001-39,X
Companhia Brasileira de Amarras - Brasilamarras,29.566.858/0001-08,X
Moto Pecas Transmissoes S.A.,16.236.440/0001-82,X
CBE - Companhia Brasileira de Equipamento,27.184.936/0001-76,X
Altus Sistemas de Informatica S.A.,88.471.578/0001-77,X
Santal Equipamentos S.A. Comercio e Industria,55.962.369/0001-77,X
Panatlantica Catarinense S.A.,76.874.528/0001-51,X
Companhia Brasileira de Resinas - Resibras,07.143.431/0001-56,X
Optotal Hoya S.A.,68.571.041/0001-71,X
Romani S.A. Industria e Comercio de Sal,76.491.836/0001-06,X
Sulmaq Industrial e Comercial S.A.,87.861.324/0001-00,X
Mercofricon S.A.,02.802.419/0001-92,X
Agrosul Agroavicola Industrial S.A.,88.369.889/0001-20,X
Agrale S.A.,88.610.324/0001-92,X
Industrias Romi S.A.,56.720.428/0001-63,unavailable
Siemens Ltda.,44.013.159/0001-16,X
Ferramentas Gedore do Brasil S.A.,96.736.350/0001-90,X
Companhia Brasileira de Metalurgia e Mineracao,33.131.541/0001-08,X
Fontana S.A.,89.305.197/0001-80,X
Kuhn do Brasil S.A. Implementos Agricolas ,06.216.625/0001-71,X
Dakota S.A.,89.086.961/0001-74,X
LP Brasil OSB Industria e Comercio S.A.,09.408.913/0001-16,X
Fiacao de Seda Bratac S.A.,61.080.735/0001-67,X
Acoforja Industria de Forjados S.A.,16.716.417/0001-95,X
Montana Quimica S.A.,60.884.459/0001-27,X
Famastil Taurus Ferramentas S.A.,90.260.985/0001-87,X
Laboratorios Baldacci Ltda.,61.150.447/0001-31,X
Cossisa Agroindustrial S.A.,21.864.236/0001-46,X
Lifemed Industrial de Equipamentos e Artigos Medicos e Hospitalares S.A.,02.357.251/0001-53,X
Daiby S.A.,75.416.255/0001-39,X
Araupel S.A.,87.102.810/0001-37,X
Polimold Industrial S.A.,44.106.466/0001-41,X
Permetal S.A. Metais Perfurados,61.139.192/0001-06,X
Empresa Carioca de Produtos Quimicos S.A.,33.346.586/0001-08,X
Mectron Engenharia. Industria e Comercio S.A.,65.481.012/0001-20,unavailable
Memphis S.A. Industrial,92.697.010/0001-46,X
Filo S.A.,30.535.975/0001-85,X
